task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
admin,7.0,8,0,15,32,35
planning,8.0,3,5,10,41,42
programming,8.6,3,6,20,186,170
admin,8.0,6,3,16,132,35
programming,7.4,4,5,21,28,121
meeting,5.5,4,0,17,115,86
programming,7.0,4,3,17,76,125
meeting,6.2,10,3,10,176,88
creative,6.5,9,6,12,98,94
programming,6.4,8,5,21,69,141
admin,5.5,3,1,14,20,26
creative,4.1,1,3,19,58,111
planning,6.0,1,1,13,152,66
programming,7.3,1,3,10,137,126
meeting,5.0,4,4,10,70,61
programming,7.0,6,2,11,180,120
planning,9.9,4,1,16,152,69
planning,8.5,3,1,11,14,29
meeting,9.5,8,6,18,38,48
creative,7.6,8,0,7,199,97
meeting,8.8,6,4,19,197,71
admin,5.9,9,0,14,78,43
programming,6.0,10,4,16,159,134
creative,3.0,1,4,19,22,104
programming,8.8,8,5,11,187,115
creative,9.3,6,5,9,125,64
creative,6.2,1,5,9,184,117
admin,6.6,4,3,10,119,38
programming,5.9,5,6,18,166,132
programming,7.6,7,0,13,89,116
programming,8.7,8,2,11,109,104
meeting,4.4,9,4,7,26,79
programming,7.6,6,4,20,157,137
planning,6.6,10,6,18,123,48
admin,7.2,9,1,19,15,14
programming,7.7,4,3,11,31,92
meeting,6.7,8,2,20,146,86
meeting,6.8,3,5,11,169,72
admin,6.7,4,4,12,97,40
meeting,8.5,10,1,20,42,56
planning,7.6,4,0,13,79,59
meeting,7.3,6,4,11,58,47
planning,5.1,9,1,21,113,62
creative,6.4,6,0,19,167,78
programming,8.3,1,3,17,111,115
planning,7.1,5,5,20,153,63
programming,8.0,9,6,8,115,108
creative,9.6,5,0,20,91,97
meeting,8.6,6,4,8,95,50
creative,7.1,3,2,19,23,78
creative,6.2,8,0,10,193,100
creative,3.2,10,2,7,174,120
creative,6.7,4,2,13,58,88
programming,6.5,4,0,19,59,107
programming,7.6,5,6,7,173,128
meeting,6.8,10,6,9,189,92
programming,6.5,9,3,16,32,118
admin,4.3,8,6,13,75,55
programming,5.6,7,0,17,182,142
planning,7.7,5,6,18,124,48
admin,9.6,9,1,18,37,6
creative,6.9,9,5,12,29,61
programming,7.5,10,2,21,186,146
creative,8.4,10,5,21,194,107
planning,5.8,2,4,13,130,58
meeting,7.6,4,2,11,106,65
admin,5.9,8,4,14,196,60
creative,8.3,1,1,12,128,95
programming,7.2,5,1,18,118,123
meeting,7.4,8,5,10,35,44
meeting,5.8,2,1,20,156,113
programming,8.1,2,0,17,115,115
meeting,10.0,8,2,7,150,70
programming,5.5,10,4,8,71,123
programming,6.5,9,6,18,135,110
programming,7.3,7,5,12,151,118
planning,8.2,8,5,10,148,59
meeting,6.2,5,1,9,76,56
planning,3.0,1,1,13,21,40
meeting,9.0,4,4,13,44,48
programming,8.1,2,2,8,119,114
meeting,4.4,3,2,14,176,99
meeting,6.1,3,5,21,169,103
programming,9.4,9,4,21,23,104
admin,9.2,10,5,17,164,36
programming,8.4,4,6,7,110,109
admin,6.7,2,3,17,69,38
admin,7.1,3,2,16,52,28
programming,6.8,3,4,13,64,123
programming,8.7,7,6,16,118,114
creative,5.7,8,4,18,102,94
meeting,5.8,6,5,7,172,73
programming,8.5,4,1,19,104,111
planning,6.9,6,4,18,169,72
programming,9.1,1,5,21,156,158
admin,6.0,10,0,20,104,41
planning,6.9,8,1,9,176,56
programming,5.6,1,1,9,157,137
programming,7.0,5,2,16,37,105
programming,4.8,2,3,20,12,160
programming,6.3,6,2,8,169,117
programming,4.8,9,0,20,95,167
admin,8.0,5,5,16,117,45
programming,8.1,4,1,19,195,131
meeting,4.4,2,1,11,191,92
planning,9.0,3,6,10,179,59
creative,10.0,6,4,19,126,76
admin,7.1,8,3,12,117,28
programming,6.0,8,3,8,24,121
admin,10.0,5,4,20,71,38
meeting,5.0,5,0,10,40,43
meeting,7.0,10,3,18,198,76
programming,7.3,3,1,13,35,114
creative,9.0,7,0,7,194,97
meeting,7.5,6,2,19,157,69
programming,6.3,1,2,17,75,128
meeting,5.6,4,0,9,158,74
meeting,6.5,6,1,7,124,57
creative,5.5,6,6,8,69,81
admin,7.1,3,2,15,72,33
creative,6.2,6,5,16,188,115
programming,4.8,10,1,11,110,116
meeting,8.9,6,4,19,176,79
meeting,6.3,9,3,10,109,78
programming,5.1,9,6,18,148,129
programming,6.7,2,6,10,128,118
creative,7.1,4,0,14,66,75
programming,4.4,9,3,18,140,128
meeting,7.5,4,4,9,46,49
programming,5.4,8,2,21,120,167
programming,9.6,10,6,18,162,126
programming,7.8,3,5,18,158,139
planning,6.4,3,1,10,121,49
creative,5.9,9,6,8,179,93
planning,6.8,10,6,12,10,53
meeting,7.9,8,1,18,32,53
programming,7.0,1,4,15,116,125
meeting,6.7,10,0,18,122,92
meeting,7.1,2,6,10,161,77
creative,6.1,3,6,17,184,86
programming,6.5,2,3,12,98,145
meeting,3.9,3,5,10,144,65
programming,8.5,8,2,20,47,123
programming,7.4,6,0,8,56,111
admin,5.8,7,5,19,112,49
meeting,9.8,10,5,20,172,100
meeting,7.1,10,4,12,71,69
meeting,5.4,6,4,18,82,84
meeting,8.3,1,1,13,12,55
creative,7.6,3,2,10,111,77
creative,7.6,1,0,18,157,100
planning,6.4,10,1,17,114,65
creative,7.7,9,6,13,53,66
programming,6.6,9,2,19,169,137
admin,7.8,5,3,17,109,33
meeting,4.1,4,3,14,35,61
programming,6.3,9,1,17,57,122
creative,9.6,9,0,9,14,59
programming,5.8,3,2,21,68,140
planning,6.1,5,3,8,70,40
meeting,6.3,3,3,11,58,39
admin,5.2,10,0,8,167,52
admin,3.7,2,1,16,154,56
creative,6.7,1,4,11,79,81
admin,7.2,10,6,16,195,66
admin,6.9,2,5,21,198,70
programming,6.8,8,6,19,24,123
meeting,7.1,8,2,12,10,54
programming,8.5,3,3,14,150,130
admin,6.7,7,5,12,185,58
meeting,6.1,7,5,10,137,68
admin,6.6,2,4,9,171,48
programming,7.9,9,5,20,134,136
programming,9.1,3,0,20,167,152
admin,6.1,2,1,8,28,31
programming,7.1,3,2,19,128,134
programming,7.5,2,0,7,73,123
programming,5.5,8,1,8,75,117
planning,7.0,5,0,8,66,38
admin,4.8,3,3,21,53,46
meeting,4.3,5,3,11,21,48
programming,7.6,8,4,15,131,113
programming,6.4,7,0,7,177,129
creative,7.3,6,6,10,33,81
admin,7.0,1,5,16,148,42
programming,5.5,10,3,13,10,103
programming,6.9,1,1,17,195,148
programming,5.2,1,4,20,37,169
admin,9.1,10,5,16,77,42
creative,5.0,8,2,9,114,84
programming,6.7,8,0,14,103,107
programming,5.4,7,6,9,133,131
programming,7.9,6,3,14,196,128
planning,6.5,4,6,19,133,63
programming,6.2,1,5,8,31,134
creative,8.3,9,1,11,166,73
admin,7.0,1,0,10,98,40
meeting,7.8,4,6,17,54,64
programming,5.5,3,1,15,133,137
programming,4.9,7,4,9,154,129
admin,7.2,5,3,18,88,42
creative,6.5,5,3,17,48,64
admin,7.9,4,4,11,177,42
meeting,6.9,1,1,16,37,47
programming,7.3,5,6,15,139,122
planning,4.6,4,0,19,164,85
creative,9.8,10,1,12,158,83
programming,6.8,8,0,8,96,115
planning,8.0,2,5,7,144,69
admin,5.7,8,4,18,198,61
admin,7.5,1,2,17,61,28
admin,5.0,4,0,7,185,71
creative,7.7,3,3,13,135,94
admin,6.5,5,5,20,156,54
programming,7.0,5,3,18,82,110
programming,8.0,5,5,8,149,122
planning,5.2,4,3,13,103,52
programming,6.0,8,1,7,11,119
meeting,7.7,3,6,10,26,59
meeting,10.0,4,1,16,134,71
meeting,6.8,1,1,21,140,100
admin,7.9,7,6,21,30,24
planning,6.8,1,5,19,87,50
programming,9.9,2,5,17,88,110
programming,4.4,7,6,10,60,111
programming,7.1,1,3,21,115,165
creative,4.6,3,0,11,114,82
admin,3.2,6,5,20,19,43
programming,7.4,6,3,20,125,133
creative,7.2,6,0,16,64,79
creative,6.6,2,6,21,45,111
creative,6.8,2,1,21,60,116
planning,10.0,6,5,7,83,54
programming,6.6,10,2,13,26,118
creative,7.8,5,1,17,70,80
meeting,6.0,7,4,8,100,71
creative,7.4,7,0,18,150,86
admin,6.6,5,2,21,104,45
creative,6.4,8,1,17,89,97
admin,9.7,10,5,21,112,44
programming,8.8,6,2,19,57,100
meeting,7.2,5,3,17,95,77
planning,3.5,4,0,19,79,55
planning,6.5,7,4,8,56,37
programming,10.0,4,3,14,19,107
programming,6.7,5,2,21,194,153
programming,8.7,5,1,15,89,109
admin,9.2,1,0,12,22,30
creative,7.3,1,5,17,198,114
programming,5.7,3,4,7,67,110
meeting,3.3,3,1,7,93,91
creative,8.0,2,4,20,77,100
admin,5.8,2,5,17,93,49
meeting,7.3,6,6,13,95,69
admin,5.1,1,0,14,166,62
meeting,6.6,6,2,9,153,68
programming,7.1,5,4,15,72,107
admin,7.4,6,0,10,184,51
admin,5.3,5,4,10,52,32
creative,8.8,7,1,9,160,78
admin,6.1,1,4,14,167,65
creative,4.5,3,6,15,194,117
programming,6.8,6,1,7,39,98
meeting,7.1,1,1,8,76,77
programming,7.2,7,0,7,193,145
programming,9.0,4,3,20,33,115
admin,6.6,3,5,10,110,40
planning,6.8,10,4,16,115,62
programming,5.3,9,2,13,110,133
meeting,8.2,1,1,20,17,76
creative,7.3,8,3,13,181,96
programming,6.4,1,1,18,105,120
admin,4.1,5,3,12,171,59
admin,9.2,10,3,19,44,31
admin,5.2,8,2,17,105,52
programming,6.1,6,3,11,59,96
meeting,7.5,7,2,17,154,88
creative,5.2,8,0,10,11,64
admin,4.8,6,1,18,191,56
programming,3.8,6,2,19,53,124
creative,8.1,6,5,20,111,103
programming,6.2,5,6,14,186,128
admin,10.0,8,1,13,139,50
programming,5.5,2,6,17,81,132
planning,5.6,7,5,17,119,57
meeting,6.2,4,4,16,146,68
programming,7.4,1,5,7,138,145
programming,6.3,5,0,12,112,121
programming,7.9,3,4,20,146,155
creative,5.5,4,4,8,151,101
planning,4.9,7,3,10,36,44
meeting,4.3,5,5,11,146,77
meeting,3.7,4,3,14,173,101
admin,6.2,1,5,12,102,50
creative,6.5,6,4,17,109,88
admin,6.1,10,3,8,140,41
meeting,8.9,6,6,11,126,59
meeting,8.8,7,1,21,160,79
admin,6.5,1,5,11,131,59
programming,4.3,4,5,12,119,150
admin,6.1,9,3,7,82,38
meeting,6.1,10,5,14,39,54
creative,6.0,6,4,9,28,60
programming,6.0,2,3,11,111,127
admin,6.0,4,3,13,76,53
meeting,6.4,6,2,9,59,55
admin,6.0,4,6,20,57,50
programming,7.3,10,6,16,12,99
admin,7.5,7,2,21,75,44
admin,5.6,3,4,19,164,52
admin,8.9,6,1,21,115,44
admin,5.5,4,5,12,120,40
admin,4.6,3,0,11,49,36
creative,7.6,3,5,13,134,90
programming,5.8,2,0,16,27,130
creative,7.5,3,6,21,164,108
meeting,3.4,10,4,17,148,92
programming,9.1,1,1,9,176,128
programming,8.0,3,1,19,28,105
programming,4.7,9,1,20,98,163
creative,4.8,4,2,8,144,103
admin,9.5,3,4,10,66,62
creative,5.9,8,0,9,139,90
meeting,5.7,1,1,21,47,89
meeting,3.6,5,4,10,142,85
programming,6.5,1,5,13,91,133
programming,6.7,7,0,11,45,91
meeting,8.1,5,6,10,97,63
programming,4.9,2,2,20,128,192
programming,4.7,1,3,21,94,197
admin,7.7,7,0,12,194,44
admin,8.5,1,6,13,157,51
planning,4.6,3,6,18,142,70
planning,8.6,6,6,20,33,49
admin,7.1,6,5,17,39,33
meeting,8.6,7,0,11,37,39
admin,6.9,1,0,18,190,64
creative,3.2,7,3,13,188,119
programming,6.8,2,1,9,118,124
meeting,8.6,6,5,13,144,62
creative,5.7,8,6,18,179,96
meeting,6.4,5,3,21,44,86
admin,6.7,10,0,9,128,50
admin,3.0,3,5,20,43,46
programming,9.5,8,2,12,112,110
meeting,5.6,8,0,14,126,94
programming,7.8,4,2,19,85,112
programming,6.9,8,4,21,63,133
programming,8.9,5,2,12,38,90
creative,7.6,5,0,16,147,86
programming,6.6,3,3,17,36,103
meeting,5.7,7,0,9,22,55
programming,8.2,9,0,18,51,109
planning,4.2,9,4,11,174,76
programming,8.0,1,6,15,198,138
meeting,5.4,1,1,14,30,52
creative,8.9,10,0,12,140,88
creative,7.2,5,4,15,145,100
programming,8.0,1,3,8,79,110
creative,7.1,4,4,19,154,92
meeting,4.4,1,4,17,19,76
meeting,5.7,2,2,15,150,82
programming,8.0,2,1,16,115,110
programming,7.2,4,1,19,21,98
admin,8.8,8,5,16,137,40
meeting,7.6,2,6,12,160,67
meeting,5.5,9,3,15,137,87
admin,5.8,9,5,18,189,70
creative,7.2,2,6,10,70,78
programming,3.5,1,6,11,35,141
admin,9.5,10,4,8,24,12
programming,7.7,10,3,9,31,86
creative,8.8,9,6,7,98,73
admin,4.6,2,3,10,74,42
planning,8.9,8,1,18,163,38
programming,10.0,3,1,8,30,102
programming,5.0,1,1,18,161,168
programming,8.2,1,0,21,25,141
programming,7.0,10,4,8,169,134
programming,4.7,2,3,7,25,131
planning,7.7,7,4,16,51,17
programming,8.3,6,6,18,169,129
programming,6.1,2,3,8,187,159
creative,8.7,4,3,10,50,77
meeting,4.5,2,5,12,117,88
creative,4.8,1,3,19,134,118
programming,7.2,3,3,18,161,153
meeting,7.0,4,2,13,22,40
programming,5.9,10,2,13,88,124
programming,8.2,5,5,13,147,126
planning,7.8,5,0,21,51,49
programming,8.3,7,1,10,178,112
meeting,6.8,10,6,18,130,61
meeting,7.9,8,6,11,140,77
programming,6.3,9,3,20,192,171
creative,10.0,7,4,17,25,75
programming,5.8,5,6,18,53,115
admin,10.0,9,2,9,167,45
planning,7.1,8,1,7,130,56
admin,4.9,10,0,20,174,76
planning,9.1,9,1,14,197,63
programming,7.2,10,3,16,33,114
meeting,8.3,8,1,17,35,50
programming,8.8,6,3,13,67,95
admin,7.5,4,5,20,18,14
planning,6.1,9,2,15,135,63
programming,8.5,9,2,20,198,154
admin,7.0,10,3,16,28,17
programming,8.0,10,4,10,37,98
admin,3.8,9,2,18,144,42
meeting,7.7,10,4,21,54,73
planning,6.0,3,3,18,137,69
admin,9.5,3,5,11,103,46
programming,7.9,6,3,11,174,95
programming,7.4,6,5,19,25,108
programming,7.7,6,6,13,14,93
programming,5.5,5,2,19,166,135
programming,9.4,5,4,15,61,108
creative,10.0,2,3,14,160,105
admin,7.6,7,6,13,15,7
meeting,9.4,4,2,20,173,80
programming,6.1,3,6,7,194,158
creative,5.8,8,5,18,170,105
admin,7.1,4,3,16,58,34
programming,7.7,4,6,19,178,121
admin,6.4,8,6,12,89,42
meeting,7.8,1,5,16,192,99
programming,7.5,9,1,21,107,155
meeting,5.5,7,5,21,116,86
meeting,7.8,2,1,15,163,89
programming,8.3,6,2,19,46,113
planning,7.3,8,3,13,125,43
creative,8.7,5,6,7,26,79
admin,5.2,6,2,15,41,34
meeting,7.7,10,0,9,165,71
meeting,5.2,8,5,20,34,70
admin,5.3,6,2,15,184,54
meeting,6.1,9,2,10,31,45
programming,5.6,9,6,21,70,139
meeting,6.2,9,1,15,135,79
creative,6.7,6,5,19,53,85
meeting,8.3,9,1,21,111,68
programming,6.5,3,3,14,29,110
creative,4.6,5,2,13,118,100
programming,8.7,2,5,10,187,116
programming,5.7,8,2,15,97,126
programming,6.9,4,3,10,184,121
programming,7.7,6,4,7,56,89
creative,7.3,6,3,12,60,78
meeting,8.6,5,1,10,192,70
programming,7.7,1,1,16,48,127
creative,5.7,7,2,9,23,65
creative,10.0,10,1,18,184,87
creative,7.3,8,5,11,30,61
programming,6.8,1,3,9,152,142
meeting,8.4,10,2,17,109,79
planning,7.4,7,3,15,106,55
creative,7.6,4,3,18,10,62
programming,10.0,6,2,12,118,112
programming,6.6,9,6,21,91,141
meeting,6.5,5,4,9,147,70
planning,7.2,8,6,11,160,55
meeting,8.6,5,1,14,27,42
meeting,4.7,2,0,20,67,101
programming,4.1,4,6,14,135,156
admin,6.1,2,0,12,82,41
creative,4.5,7,0,11,119,99
meeting,6.4,7,1,21,61,79
creative,7.8,3,4,11,55,60
planning,5.7,7,3,7,116,54
programming,4.9,1,2,8,22,151
meeting,7.1,1,4,21,105,88
programming,8.3,9,0,18,26,89
creative,4.5,6,5,17,76,96
admin,8.2,5,1,10,70,28
admin,8.2,6,6,12,74,38
creative,8.4,6,1,17,190,94
meeting,8.8,1,6,13,142,73
planning,10.0,5,2,7,169,55
meeting,6.5,9,5,14,98,55
programming,7.2,4,3,18,182,125
admin,6.4,3,4,7,65,42
creative,7.0,1,5,15,14,90
programming,9.3,2,4,21,110,144
creative,5.0,3,4,10,96,78
planning,5.7,4,3,18,171,77
programming,9.1,7,3,21,70,134
planning,8.5,6,6,13,199,72
programming,6.5,8,3,17,78,104
programming,8.3,9,2,20,72,130
programming,7.5,6,1,12,53,107
creative,9.3,7,0,21,37,89
admin,7.1,4,3,19,22,28
programming,8.5,2,1,15,180,130
meeting,10.0,9,6,20,39,60
admin,7.9,9,3,8,163,59
programming,7.1,4,0,21,72,143
creative,8.1,3,5,21,82,87
creative,6.5,10,3,17,66,93
meeting,10.0,6,1,13,73,67
planning,7.3,3,6,17,186,82
meeting,6.6,1,6,11,61,73
planning,5.7,4,2,19,72,43
admin,8.6,1,6,13,150,54
admin,8.3,2,5,7,102,46
programming,6.3,3,6,17,116,123
creative,7.9,8,6,17,118,73
meeting,4.7,10,5,16,97,80
programming,7.3,4,5,15,54,116
programming,7.7,4,0,7,117,137
admin,9.6,10,1,20,55,33
meeting,5.8,9,4,11,86,48
admin,5.1,7,6,20,178,62
creative,5.7,2,4,14,55,99
programming,5.0,3,4,7,138,145
admin,9.0,4,2,13,101,40
programming,9.3,4,3,8,21,93
creative,7.5,10,6,13,97,89
creative,8.8,8,3,13,82,81
meeting,7.2,10,3,15,172,72
admin,6.9,10,2,12,111,38
programming,6.5,6,4,10,108,103
meeting,6.5,3,5,13,170,71
creative,4.7,9,3,13,67,82
meeting,7.4,10,5,10,137,52
meeting,6.9,8,5,8,126,79
meeting,8.1,9,2,19,44,61
creative,7.1,5,2,17,183,95
programming,6.8,3,1,15,93,127
programming,5.7,4,6,20,75,162
admin,7.1,5,3,14,181,60
creative,8.1,9,4,11,35,75
programming,5.3,9,0,20,51,148
programming,7.1,3,2,11,86,120
programming,7.3,7,5,7,39,102
programming,5.9,6,1,17,125,126
meeting,6.1,4,0,15,169,90
admin,7.3,5,2,17,45,34
admin,5.3,10,1,20,28,31
admin,7.5,2,5,16,31,23
meeting,5.7,7,3,17,74,67
creative,8.6,4,6,14,66,60
meeting,10.0,2,6,11,20,47
planning,5.7,6,1,16,35,34
admin,7.8,2,2,12,185,52
programming,5.9,10,6,18,28,104
admin,8.6,2,6,16,92,46
programming,5.1,7,3,17,149,141
admin,7.7,1,5,16,76,39
programming,5.7,7,4,14,65,115
programming,6.7,10,6,12,27,113
creative,5.5,5,1,16,122,101
programming,8.2,1,0,20,14,137
creative,5.7,6,5,10,121,95
programming,7.8,7,3,9,161,108
admin,6.5,1,5,13,124,51
admin,6.8,9,3,19,175,49
meeting,7.2,7,5,8,76,58
programming,5.9,1,4,13,79,136
programming,7.3,3,1,7,61,121
programming,9.3,5,0,19,136,117
programming,5.8,4,6,16,176,134
admin,8.8,2,4,11,196,60
planning,9.2,1,1,21,163,89
creative,5.8,4,0,15,74,82
creative,4.8,7,5,19,89,86
creative,7.5,4,6,21,185,116
admin,6.2,9,0,19,122,56
programming,9.8,8,2,7,120,108
planning,7.1,8,0,14,62,58
admin,5.8,5,1,15,146,41
admin,5.3,1,4,15,142,56
programming,8.6,9,6,14,125,99
meeting,6.1,2,4,10,81,59
meeting,7.1,6,6,20,198,94
creative,8.4,10,2,20,30,83
meeting,6.3,5,1,13,112,81
meeting,6.9,10,0,7,116,64
planning,7.0,8,2,13,72,49
programming,8.0,3,5,12,157,117
meeting,7.9,6,3,11,195,83
programming,6.7,6,5,7,182,143
admin,7.1,10,1,14,159,58
planning,6.4,3,2,16,86,61
programming,4.8,7,4,7,84,128
creative,7.4,4,2,7,167,98
programming,9.8,5,3,20,72,125
planning,5.7,9,1,21,181,77
creative,5.8,6,2,9,76,70
creative,5.7,10,6,19,195,108
programming,8.1,4,5,14,45,106
planning,7.7,8,0,14,143,64
admin,6.8,9,5,20,46,39
programming,5.6,10,1,21,102,159
creative,7.1,5,2,13,84,73
programming,4.7,2,5,11,192,161
creative,7.2,6,2,21,196,113
programming,8.3,8,5,14,175,105
admin,5.1,5,1,8,124,44
meeting,4.7,1,4,14,162,102
programming,9.4,8,5,18,86,106
programming,6.1,9,0,17,170,119
programming,8.7,1,5,8,22,114
meeting,6.8,8,1,16,47,59
programming,6.8,10,5,11,195,114
admin,7.7,2,0,17,157,56
programming,5.7,4,6,19,26,116
programming,7.2,2,0,10,132,105
admin,6.4,2,1,21,123,60
programming,5.0,10,2,19,161,142
planning,7.5,3,5,7,35,53
creative,6.6,8,4,11,177,84
admin,6.8,4,0,13,41,29
admin,5.2,7,6,7,174,64
creative,9.4,10,0,8,95,70
programming,8.3,3,5,18,107,127
programming,8.4,10,2,21,100,139
programming,6.5,3,5,20,130,164
creative,4.4,2,6,15,197,123
programming,9.9,6,6,18,66,97
admin,6.9,6,1,11,116,34
planning,5.9,1,4,20,195,90
creative,7.6,7,5,19,31,44
meeting,8.8,4,0,13,195,78
programming,7.0,3,0,8,121,123
creative,8.9,8,1,13,94,69
admin,8.6,2,2,13,89,41
programming,5.4,9,5,13,82,112
programming,6.0,8,3,11,86,117
planning,8.4,8,2,15,83,52
admin,3.0,3,0,8,136,66
creative,6.8,4,6,10,186,90
creative,4.9,2,5,8,130,111
admin,6.3,2,6,14,94,50
meeting,6.6,4,0,18,186,85
meeting,6.5,6,4,17,179,78
programming,6.2,5,2,7,177,136
meeting,5.4,1,3,15,183,97
creative,10.0,10,4,18,159,80
admin,9.8,1,3,19,91,21
creative,5.3,6,4,20,30,89
meeting,9.4,3,2,11,188,59
admin,6.4,3,0,17,151,45
admin,7.2,7,3,18,83,48
admin,6.9,1,2,9,18,11
admin,6.0,1,3,18,155,59
programming,8.5,10,2,17,22,104
meeting,7.2,3,4,10,26,38
programming,6.3,8,2,7,135,141
meeting,5.0,1,4,9,96,75
meeting,5.7,10,0,17,162,93
admin,4.5,4,4,14,191,63
planning,7.0,9,1,18,25,33
admin,5.2,4,0,8,33,8
admin,6.6,10,6,8,84,28
meeting,9.1,8,6,15,160,79
admin,8.8,7,6,11,178,62
programming,7.0,3,5,11,112,103
programming,6.9,7,5,7,95,115
meeting,9.8,7,2,19,170,72
meeting,7.8,10,2,12,114,70
programming,6.5,3,1,14,51,121
programming,4.9,2,2,12,185,160
programming,7.6,9,0,20,27,126
planning,8.2,1,0,21,87,55
programming,6.1,7,6,13,101,122
meeting,7.4,4,4,20,20,71
programming,6.5,2,3,10,161,126
admin,6.7,2,2,8,198,58
programming,3.3,8,1,7,173,151
programming,6.7,7,6,18,135,128
meeting,8.5,7,5,12,106,67
programming,6.1,5,0,15,62,111
programming,7.1,10,0,16,92,116
programming,5.9,8,0,11,56,80
programming,7.5,2,3,18,61,125
programming,6.7,2,3,8,66,134
programming,5.6,5,2,7,84,118
creative,9.0,1,5,9,160,87
admin,8.4,6,1,10,68,29
meeting,6.1,4,3,13,78,61
programming,7.7,6,4,15,193,121
planning,7.8,7,3,14,95,50
meeting,8.0,3,0,15,179,88
programming,4.5,8,1,13,155,146
admin,8.5,7,2,16,80,57
programming,6.1,1,3,14,42,142
programming,6.5,6,0,14,12,109
meeting,10.0,7,6,7,37,57
creative,7.5,4,4,18,10,68
meeting,6.4,2,4,20,135,101
admin,3.7,10,6,21,122,57
planning,9.1,9,2,18,56,48
programming,5.0,7,2,21,46,146
programming,5.5,1,3,15,95,144
meeting,6.5,8,2,8,57,70
meeting,9.1,3,5,18,117,67
meeting,8.2,4,5,17,28,45
planning,6.8,5,0,20,151,62
admin,7.5,1,0,13,92,48
admin,6.1,6,0,19,74,58
programming,7.2,10,5,16,35,95
creative,7.1,6,3,16,147,96
planning,8.5,2,3,19,108,55
creative,8.5,10,2,11,86,77
programming,7.7,6,3,10,79,100
admin,6.5,8,0,7,52,41
programming,8.1,6,1,7,79,107
programming,6.9,4,0,9,68,96
programming,5.4,4,5,20,12,140
admin,6.4,9,6,21,142,55
admin,7.1,6,1,7,94,42
programming,8.4,8,2,14,104,106
meeting,6.7,8,4,9,87,75
meeting,5.2,7,6,17,110,82
meeting,7.1,3,3,16,92,53
programming,7.2,10,3,8,174,126
meeting,7.3,1,5,12,93,66
creative,8.4,5,0,10,189,102
programming,8.5,10,0,19,130,96
programming,6.1,10,1,19,144,133
meeting,6.1,2,3,20,62,87
planning,5.4,10,6,17,123,65
admin,8.0,2,5,20,15,34
admin,9.2,7,6,19,144,62
meeting,6.5,3,2,17,181,95
admin,6.6,8,0,19,27,12
programming,9.2,9,6,10,63,102
admin,7.8,8,3,8,136,46
planning,7.7,6,4,8,166,72
admin,5.2,5,5,17,34,28
creative,8.0,3,1,12,72,70
admin,5.6,3,0,11,124,35
programming,5.3,7,0,15,150,145
planning,6.5,5,2,10,169,66
programming,6.1,6,0,11,164,116
meeting,6.7,6,5,21,60,52
programming,4.8,9,3,7,171,152
programming,8.4,1,3,18,37,98
meeting,8.7,8,3,18,82,77
programming,4.1,10,4,8,81,121
meeting,8.5,5,4,9,94,57
admin,5.8,6,0,11,119,44
programming,8.3,6,6,18,39,100
programming,6.9,1,4,11,18,109
admin,7.0,3,6,10,150,49
programming,6.7,6,6,20,91,137
admin,8.8,9,4,16,73,31
admin,5.1,6,2,9,47,25
creative,7.9,6,4,15,128,84
admin,8.7,1,1,7,31,16
meeting,8.1,9,1,12,168,78
admin,10.0,4,6,13,108,40
programming,6.2,2,1,16,179,157
programming,8.4,1,0,10,199,128
creative,6.8,3,3,16,115,98
meeting,8.9,3,2,9,73,61
creative,7.0,5,0,14,18,67
creative,6.4,1,3,15,135,108
creative,9.0,7,2,19,104,68
planning,6.3,1,6,7,181,84
meeting,4.9,4,2,21,177,101
programming,6.2,6,2,21,97,145
admin,7.9,1,1,21,178,54
meeting,9.1,7,1,21,122,72
admin,7.2,10,1,17,81,49
admin,9.0,7,2,18,59,32
admin,5.0,3,5,16,157,53
meeting,6.3,4,2,15,90,67
programming,6.6,6,1,13,179,133
meeting,6.8,7,2,7,42,63
programming,7.1,4,1,13,72,116
creative,8.0,10,1,11,194,89
programming,6.3,9,1,16,114,115
programming,7.2,9,6,19,189,127
programming,6.9,9,6,19,108,118
admin,5.6,10,5,13,15,26
admin,6.8,6,3,18,144,44
programming,6.8,2,2,15,18,113
programming,6.8,2,0,14,110,137
meeting,7.0,4,1,12,70,67
programming,7.1,9,5,8,171,135
admin,6.4,3,0,14,172,57
admin,8.9,6,6,18,108,23
meeting,5.2,2,3,20,157,126
programming,5.9,1,2,10,67,123
planning,10.0,5,6,14,69,39
meeting,5.4,8,5,21,191,102
admin,5.0,10,1,13,44,30
programming,8.1,10,1,10,56,83
meeting,3.9,2,1,14,55,84
programming,6.6,10,5,17,96,116
meeting,10.0,9,6,17,13,47
planning,4.7,8,0,18,19,21
meeting,4.0,3,3,17,116,84
programming,4.8,1,2,8,84,143
programming,8.3,4,3,15,49,99
meeting,8.7,8,6,12,136,71
programming,6.2,3,1,13,192,143
programming,8.0,10,3,16,128,109
creative,9.1,2,0,7,82,85
meeting,9.7,7,4,9,49,44
programming,6.6,4,6,20,105,142
planning,3.5,6,4,16,32,33
programming,5.8,5,2,11,152,123
planning,6.4,2,2,21,124,67
programming,6.6,10,3,18,125,109
creative,6.7,2,2,13,142,112
admin,8.7,9,6,7,177,55
creative,8.9,10,5,15,155,78
planning,6.7,2,0,11,30,33
